Event,Site,Date,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,Variant,TimeControl,ECO,Termination,Moves,WhiteFirstMove,BlackFirstMove,MyResult,MyFirstMove,MyElo,MyOpponentsElo
Rated Bullet game,https://lichess.org/FyDMtnqO,2021.07.15,ricardojose123,OzymandiasS,0-1,2021/07/15,00:25:01,1529,1584,-5,+5,Standard,60+0,B00,Time forfeit,1. e4 d6 2. Nf3 e6 3. d4 g6 4. Bc4 Bg7 5. O-O Ne7 6. Re1 O-O 7. e5 b6 8. Bb3 c5 9. Nc3 cxd4 10. Nxd4 dxe5 11. Nde2 Qxd1 12. Rxd1 Bb7 13. Bg5 Nbc6 14. Ba4 Rad8 15. Bxc6 Bxc6 16. Bxe7 Rxd1+ 17. Rxd1 Re8 18. Ba3 f5 19. Ng3 e4 20. Nf1 e5 21. g3 f4 22. gxf4 exf4 23. Re1 b5 24. Bc5 a5 25. Bb6 b4 26. Ne2 f3 27. Nf4 a4 28. Bc5 g5 29. Nh3 g4 30. Nf4 Be5 31. Be3 b3 32. cxb3 axb3 33. axb3 Bb5 34. Rb1 Be2 35. b4 Bxf4 36. b5 Bxe3 37. fxe3 Bxb5 38. b4 Bxf1 39. Kxf1 Rb8 40. b5 Kf7 41. b6 Ke6 42. b7 Kd6 43. h3 Kc7 44. hxg4 Rxb7 45. g5 Rxb1+ 46. Kf2 Rb6 47. Kg3 Rg6 48. Kf4 Kd7 0-1,e4,d6,Win,d6,1584,1529
Rated Bullet game,https://lichess.org/C0uzp7rV,2021.07.15,OzymandiasS,HumphreyBongani,0-1,2021/07/15,00:22:21,1588,1648,-4,+5,Standard,60+0,B50,Time forfeit,1. e4 c5 2. Nf3 d6 3. d4 Nc6 4. dxc5 Qa5+ 5. Nc3 Qxc5 6. Be3 Qh5 7. Be2 Ne5 8. Nd4 Qg6 9. Nd5 Rb8 10. O-O Bh3 11. Bb5+ Nd7 12. Qf3 a6 13. Ba4 b5 14. Bb3 Be6 15. Nc7+ Kd8 16. Ncxe6+ fxe6 17. Nxe6+ Ke8 18. Nxf8 Nxf8 19. Bd4 Nf6 20. Bxf6 gxf6 21. Rae1 Rg8 22. g3 Nd7 23. e5 Nxe5 24. Rxe5 dxe5 25. Bxg8 Qxg8 26. Qc6+ Kf7 27. Rd1 Rf8 28. Qd5+ Kg6 29. f4 exf4 30. Rd4 Qxd5 0-1,e4,c5,Loss,e4,1588,1648
Rated Bullet game,https://lichess.org/QQY6dWTG,2021.07.14,jwm88,OzymandiasS,1-0,2021/07/14,23:38:59,1578,1594,+6,-6,Standard,60+0,A41,Time forfeit,1. d4 d6 2. c4 e6 3. Nc3 g6 4. g3 Bg7 5. Bg2 Ne7 6. e3 O-O 7. Nge2 c6 8. O-O Nd7 9. b4 f5 10. a4 e5 11. dxe5 dxe5 12. Bb2 Nb6 13. c5 Nbd5 14. Ba3 Be6 15. Nxd5 Nxd5 16. Rb1 e4 17. b5 Qc7 18. bxc6 bxc6 19. Rb2 Bxb2 20. Bxb2 Rad8 21. Bd4 Nb4 22. Qb1 Nd3 23. Rd1 Rb8 24. Qa1 Bb3 25. Rd2 Rb7 26. h4 Rfb8 27. Kh2 Bf7 28. Qa2 Bxa2 29. Rxa2 Ne1 30. Kh3 Nxg2 31. Kxg2 Qd7 32. h5 gxh5 33. Kh3 Qg7 34. Kg2 Qg4 35. Nf4 Qf3+ 36. Kf1 Rb2 37. Bxb2 Rxb2 38. Rxb2 1-0,d4,d6,Loss,d6,1594,1578
Rated Bullet game,https://lichess.org/20li3jWo,2021.07.14,OzymandiasS,MOARStuff,1-0,2021/07/14,23:36:29,1588,1613,+6,-6,Standard,60+0,C20,Normal,1. e4 e5 2. d3 Nc6 3. Nc3 Bc5 4. Bd2 d6 5. Nf3 Bb6 6. Be2 Bg4 7. O-O Bxf3 8. Bxf3 f6 9. Ne2 Nge7 10. c3 Ng6 11. d4 exd4 12. cxd4 Nxd4 13. Nxd4 Bxd4 14. Rb1 c5 15. b3 Qc7 16. Re1 Be5 17. Be3 O-O 18. Qd5+ Kh8 19. Rbd1 b6 20. Bg4 Bf4 21. Bxf4 Nxf4 22. Qxd6 Qxd6 23. Rxd6 Rfd8 24. Red1 h5 25. Rxd8+ Rxd8 26. Rxd8+ Kh7 27. Bf5+ g6 28. Rd7+ Kh6 29. Bh3 g5 30. g3 Ne2+ 31. Kf1 Nd4 32. Rxa7 g4 33. Bg2 f5 34. Ra6 fxe4 35. Rxb6+ Kg5 36. Bxe4 Nc2 37. Bxc2 h4 38. b4 h3 39. bxc5 Kh5 40. c6 Kg5 41. c7 Kh5 42. c8=Q Kg5 43. Qc5# 1-0,e4,e5,Win,e4,1588,1613
Rated Bullet game,https://lichess.org/wLsSTSSR,2021.07.14,Gerardo_Cordoba,OzymandiasS,1-0,2021/07/14,23:33:46,1607,1594,+6,-6,Standard,60+0,B00,Time forfeit,1. e4 d6 2. Bc4 e6 3. d4 g6 4. Bf4 Bg7 5. Nf3 Ne7 6. Bg5 O-O 7. O-O f6 8. Nc3 fxg5 9. Nxg5 d5 10. exd5 exd5 11. Bb3 Nf5 12. Qf3 Qxg5 13. Bxd5+ Kh8 14. Qd3 c6 15. Bf3 Nd7 16. Kh1 Nxd4 17. Rg1 Nxf3 18. gxf3 Qd5 19. Qxd5 cxd5 20. Nxd5 Ne5 21. Nc7 Rb8 22. Nd5 Nxf3 23. Rg3 Ne5 24. Kg2 Be6 25. Ne3 Rbd8 26. Rd1 Rxd1 27. Nxd1 Bd5+ 28. Kf1 Nf3 29. Ne3 Nd2+ 30. Ke1 Nf3+ 31. Ke2 Bc6 32. c4 Bxb2 33. Nd5 Nd4+ 34. Kd3 Bxd5 35. cxd5 Rd8 36. Kc4 Kg7 37. Rb3 Nxb3 38. axb3 Bf6 39. b4 Kf7 40. b5 Ke7 41. Kc5 Kd7 42. d6 b6+ 43. Kd5 1-0,e4,d6,Loss,d6,1594,1607
Rated Bullet game,https://lichess.org/Iz08nCcB,2021.07.14,OzymandiasS,abdullabettar,1-0,2021/07/14,23:31:11,1587,1608,+7,-6,Standard,60+0,B00,Time forfeit,1. e4 b6 2. d3 Bb7 3. Nc3 e6 4. Bd2 Nf6 5. g3 d6 6. Bg2 h6 7. Nge2 c5 8. O-O Nbd7 9. f4 a6 10. e5 Bxg2 11. Kxg2 Nh7 12. exd6 Bxd6 13. Be3 Qc8 14. d4 c4 15. Ne4 Qc6 16. Nc3 f5 17. d5 exd5 18. Nxd6+ Qxd6 19. Qxd5 Qxd5+ 20. Nxd5 b5 21. Nc7+ Kf7 22. Nxa8 Rxa8 23. Rad1 Ndf6 24. c3 Ne4 25. Bc5 Nhf6 26. a3 Ne8 27. Rd7+ Kg6 28. Rfd1 a5 29. Bd4 Rb8 30. Be5 Rc8 31. Rb7 b4 32. axb4 axb4 33. Rdd7 bxc3 34. bxc3 Nxc3 35. Bxc3 Rc7 36. Rbxc7 Nxc7 37. Rxc7 h5 38. Rxg7+ 1-0,e4,b6,Win,e4,1587,1608
Rated Bullet game,https://lichess.org/J2P069R2,2021.07.14,Mohammad9x,OzymandiasS,0-1,2021/07/14,23:28:36,1550,1582,-5,+5,Standard,60+0,A41,Time forfeit,1. e4 d6 2. d4 e5 3. dxe5 dxe5 4. Qxd8+ Kxd8 5. Nf3 Nc6 6. Bb5 Bd7 7. Bxc6 Bxc6 8. Nxe5 Ke7 9. f3 Bb5 10. c4 Ba6 11. b4 f6 12. Nd3 Bxc4 13. O-O Bxd3 14. Rd1 Bxb1 15. Rxb1 Rd8 16. Bf4 Rxd1+ 17. Rxd1 c6 18. Bd6+ Kf7 19. Bxf8 Kxf8 20. Rd8+ Kf7 21. Kf2 h5 22. f4 Rh6 23. e5 fxe5 24. fxe5 Re6 25. Rd7+ Re7 26. Rxe7+ Nxe7 27. Kf3 Ke6 28. Ke4 g5 29. h3 Nf5 30. g4 hxg4 31. hxg4 Ne7 32. a4 Nd5 33. b5 cxb5 34. axb5 a6 35. bxa6 bxa6 36. Kd4 a5 37. Kc4 Kxe5 38. Kb5 Kf4 39. Kxa5 Kxg4 40. Kb5 Kf4 41. Kc4 Ne3+ 42. Kd3 g4 43. Ke2 Kg3 44. Ke1 Kg2 45. Ke2 Nf5 46. Ke1 g3 47. Ke2 Kg1 48. Kf3 g2 0-1,e4,d6,Win,d6,1582,1550
Rated Bullet game,https://lichess.org/h14O2H7S,2021.07.13,OzymandiasS,Evenflow,0-1,2021/07/13,02:00:04,1587,1622,-5,+5,Standard,60+0,A05,Time forfeit,1. e4 Nf6 2. Nf3 Nxe4 3. Ng5 Nxg5 4. d4 Ne4 5. Qf3 d5 6. Bd3 f5 7. Bg5 g6 8. O-O h6 9. Bh4 Bg7 10. c4 c6 11. cxd5 Qxd5 12. Nc3 Qxd4 13. Bxe4 fxe4 14. Qf4 Rf8 15. Qc1 g5 16. Bg3 Be5 17. Ne2 Qxb2 18. Rb1 Qxc1 19. Nxc1 Bxg3 20. hxg3 e3 21. f3 g4 0-1,e4,Nf6,Loss,e4,1587,1622
Rated Bullet game,https://lichess.org/OgsFzGyi,2021.07.13,fwguerra,OzymandiasS,1-0,2021/07/13,01:58:25,1578,1593,+7,-6,Standard,60+0,D35,Normal,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Be7 7. Nf3 O-O 8. h4 b6 9. e5 Bb7 10. Bd3 c5 11. Bxh7+ Kxh7 12. Ng5+ Kg8 13. Qh5 Bxg5 14. hxg5 f6 15. g6 Re8 16. Qh8# 1-0,d4,d5,Loss,d5,1593,1578
Rated Bullet game,https://lichess.org/LsgCgCUV,2021.07.12,nitsugamo,OzymandiasS,1-0,2021/07/12,21:13:06,1605,1599,+6,-6,Standard,60+0,D00,Time forfeit,1. d4 d5 2. Bg5 f6 3. Bf4 e5 4. dxe5 fxe5 5. Bxe5 Nf6 6. Nc3 Bd6 7. Bxf6 Qxf6 8. Nxd5 Qxb2 9. e3 Bb4+ 10. Nxb4 Qxb4+ 11. Qd2 Qxd2+ 12. Kxd2 O-O 13. Re1 Rxf2+ 14. Kc1 Nc6 15. Bc4+ Kf8 16. Nf3 Rxg2 17. Ref1 Ke7 18. e4 Bg4 19. Nh4 Be2 20. Rf7+ Kd6 21. Nxg2 Bxc4 22. Rxg7 Ne5 23. Nf4 Rf8 24. Nd3 Nxd3+ 25. cxd3 Bxd3 26. Rd1 Ke5 27. Rxd3 Rf1+ 28. Kc2 Rf6 29. Re7+ 1-0,d4,d5,Loss,d5,1599,1605
Rated Bullet game,https://lichess.org/esXFKS9F,2021.07.12,dimoss,OzymandiasS,1-0,2021/07/12,21:11:51,1602,1604,+6,-5,Standard,60+0,C46,Normal,1. e4 e5 2. Nf3 Nc6 3. Nc3 d6 4. Bb5 Be6 5. Bxc6+ bxc6 6. d4 exd4 7. Nxd4 Nf6 8. Nxc6 Qd7 9. Nd4 Be7 10. Be3 O-O 11. Qf3 d5 12. Nf5 dxe4 13. Nxe7+ Qxe7 14. Nxe4 Rfe8 15. O-O-O Bd5 16. Nxf6+ Qxf6 17. Rxd5 Qb6 18. Bxb6 1-0,e4,e5,Loss,e5,1604,1602
Rated Bullet game,https://lichess.org/0FwP607A,2021.07.12,toolleeo,OzymandiasS,0-1,2021/07/12,21:09:13,1595,1599,-5,+5,Standard,60+0,D02,Time forfeit,1. d4 d5 2. Nf3 e6 3. Bg5 f6 4. Bh4 Be7 5. e3 Nc6 6. h3 Nh6 7. Nbd2 Nf7 8. Bg3 O-O 9. c4 dxc4 10. Bxc4 e5 11. dxe5 Nxe5 12. Nxe5 fxe5 13. O-O Kh8 14. b3 b6 15. Qc2 Bb7 16. Nf3 c5 17. Rad1 Qc7 18. Qc3 Bf6 19. e4 Rad8 20. Rfe1 Rxd1 21. Rxd1 Bxe4 22. Kh1 Bxf3 23. gxf3 e4 24. Qe3 exf3 25. Qxf3 Qe7 26. Kg2 Bd4 27. Rd2 Ne5 28. Bxe5 Rxf3 29. Re2 Bxe5 30. Kxf3 Qf6+ 31. Kg2 Bd4 32. Kf1 h6 33. Ke1 Kh7 34. Kd1 Qh4 35. f3 Qxh3 36. Kd2 Qd7 0-1,d4,d5,Win,d5,1599,1595
Rated Bullet game,https://lichess.org/4SzuoSTM,2021.07.12,DarioGV,OzymandiasS,0-1,2021/07/12,21:06:18,1576,1593,-6,+6,Standard,60+0,C41,Time forfeit,1. e4 e5 2. Bc4 d6 3. Nf3 Be6 4. Bb3 Nf6 5. c3 Be7 6. O-O O-O 7. Re1 Nc6 8. d4 exd4 9. cxd4 Bxb3 10. axb3 Re8 11. Nc3 Bf8 12. Bg5 h6 13. Bh4 Be7 14. Qd2 Ng4 15. Bxe7 Rxe7 16. h3 Nf6 17. Qf4 Qd7 18. Red1 Rae8 19. d5 Nb4 20. Rxa7 Nxe4 21. Rxb7 Nxc3 22. bxc3 Nxd5 23. Rxd5 Qc6 0-1,e4,e5,Win,e5,1593,1576
Rated Bullet game,https://lichess.org/QTEhvkgn,2021.07.12,OzymandiasS,Darvins,0-1,2021/07/12,21:04:01,1599,1597,-6,+5,Standard,60+0,C00,Time forfeit,1. e4 e6 2. d3 c6 3. b3 d5 4. Bb2 Nd7 5. Nd2 Nb6 6. exd5 Nxd5 7. Ngf3 Nb4 8. Be2 Nd5 9. O-O Nde7 10. c4 f6 11. d4 b6 12. Qc2 Qc7 13. Rad1 Ng6 14. Bd3 Bd6 15. h3 f5 16. Rfe1 Nf6 17. d5 cxd5 18. cxd5 Nxd5 19. Qxc7 Nxc7 20. Nc4 Be7 21. Nfe5 Nxe5 22. Nxe5 O-O 23. Bc4 b5 24. Bf1 a6 25. Nc6 Bf6 26. Ba3 Re8 27. Rd2 Nd5 28. Red1 Bd7 29. Nd4 Rac8 30. Nf3 Rcd8 31. Bd3 Nc3 32. Bb1 Nxd1 33. Rxd1 Bc6 34. Re1 Bxf3 0-1,e4,e6,Loss,e4,1599,1597
Rated Bullet game,https://lichess.org/C0W55tWQ,2021.07.12,hsnvuqar,OzymandiasS,1-0,2021/07/12,20:54:03,1598,1605,+6,-6,Standard,60+0,A41,Normal,1. d4 d6 2. Bf4 e6 3. Nf3 g6 4. h3 Bg7 5. e3 Ne7 6. Be2 b6 7. Be5 Bb7 8. Bxg7 Rg8 9. Bh6 Nd7 10. Bf4 Rc8 11. Bh2 f5 12. O-O e5 13. dxe5 dxe5 14. Nxe5 Nxe5 15. Bxe5 Qxd1 16. Rxd1 c5 17. Bg3 Nd5 18. Nd2 Nb4 19. c3 Nc6 20. Bf1 Kf7 21. b4 cxb4 22. cxb4 Nxb4 23. Rac1 Rcd8 24. Rc7+ 1-0,d4,d6,Loss,d6,1605,1598
Rated Bullet game,https://lichess.org/v3EnDxVU,2021.07.10,OzymandiasS,rdecartes,1/2-1/2,2021/07/10,23:33:34,1605,1578,+0,+1,Standard,60+0,B01,Normal,1. e4 d5 2. d3 dxe4 3. dxe4 Nf6 4. Qxd8+ Kxd8 5. Nc3 Nc6 6. Bg5 h6 7. O-O-O+ Ke8 8. Bh4 g5 9. Bg3 h5 10. Bxc7 h4 11. h3 Nxe4 12. Nxe4 f6 13. Bb5 Bg7 14. Bxc6+ Kf7 15. Bd5+ e6 16. Bb3 Bd7 17. Rxd7+ Kg6 18. Nf3 Rac8 19. Bh2 f5 20. Nexg5 Bh6 21. Kb1 Bxg5 22. Nxg5 Kxg5 23. f4+ Kf6 24. Re1 Rcd8 25. Rxb7 a5 26. Rb6 a4 27. Bxe6 Ra8 28. Bd5+ Kg7 29. Bxa8 Kg8 30. Rb8+ Kg7 31. Rxh8 Kxh8 32. Bb7 Kg7 33. Bc8 a3 34. Bxf5 axb2 35. Kxb2 Kf6 36. Re4 Kxf5 37. Rc4 Kg6 38. g3 Kf7 39. gxh4 Ke6 40. h5 Kf7 41. h6 Ke6 42. Rc6+ Kf7 43. h7 Kg7 44. Rc7+ Kh8 45. f5 1/2-1/2,e4,d5,Draw,e4,1605,1578
Rated Bullet game,https://lichess.org/fUIhJ4ds,2021.07.10,OzymandiasS,SophisticatedPoet,1-0,2021/07/10,23:30:20,1600,1565,+5,-6,Standard,60+0,B30,Normal,1. e4 c5 2. Nf3 Nc6 3. d3 g6 4. Nc3 Bg7 5. Bd2 Qb6 6. Be2 Qxb2 7. Rb1 Qa3 8. Rb3 Qa5 9. Nd5 Qd8 10. O-O e6 11. Nc3 a5 12. Bg5 Nge7 13. Be3 Nd4 14. Nb5 Nxb3 15. cxb3 b6 16. Bf4 d5 17. Nc7+ Kd7 18. Nxa8 f6 19. exd5 e5 20. Nxb6+ Qxb6 21. Bd2 Nxd5 22. d4 cxd4 23. Bc4 Nc3 24. Bxc3 1-0,e4,c5,Win,e4,1600,1565
Rated Bullet game,https://lichess.org/6d5y5Zg1,2021.07.10,joberton,OzymandiasS,1-0,2021/07/10,23:28:21,1657,1605,+5,-5,Standard,60+0,A00,Normal,1. e3 d6 2. b3 e5 3. Bb2 f5 4. g3 Nf6 5. Bg2 Be6 6. Nc3 Nc6 7. Nf3 Qd7 8. Rg1 O-O-O 9. a3 h6 10. b4 g5 11. b5 Ne7 12. a4 g4 13. Nh4 h5 14. a5 f4 15. gxf4 exf4 16. b6 cxb6 17. axb6 a6 18. Bf1 fxe3 19. dxe3 Kb8 20. Rxa6 bxa6 21. Bxa6 Ne4 22. Nxe4 Bd5 23. Nc3 Bg7 24. Nxd5 Nxd5 25. Bxg7 Rhg8 26. Qxd5 Qxg7 27. Ke2 Qc3 28. Qb7# 1-0,e3,d6,Loss,d6,1605,1657
Rated Bullet game,https://lichess.org/V86rZWu5,2021.07.10,OzymandiasS,chessmess85,0-1,2021/07/10,23:26:07,1610,1624,-5,+6,Standard,60+0,B01,Normal,1. e4 d5 2. d3 dxe4 3. dxe4 Qxd1+ 4. Kxd1 Nc6 5. Nc3 e5 6. f3 f5 7. Bb5 Bd7 8. Nge2 Nf6 9. Bg5 Be7 10. Ke1 h6 11. Bxc6 Bxc6 12. Bxf6 Bxf6 13. exf5 O-O-O 14. Ne4 Bxe4 15. fxe4 g6 16. g4 gxf5 17. exf5 h5 18. h3 hxg4 19. hxg4 Rxh1+ 20. Kf2 Rxa1 21. Nc3 Rxa2 22. Nxa2 Rd2+ 23. Ke3 Rxc2 24. Nb4 Rxb2 25. Nd5 Bg5+ 26. Ke4 Re2+ 27. Kf3 Rd2 28. Ne3 Bxe3 29. Kxe3 Rd7 30. f6 Kd8 31. Ke4 Ke8 32. g5 Kf7 33. Kxe5 Rd6 34. Kf5 Rd5+ 35. Kg4 Kg6 36. Kf4 a5 37. f7 Kxf7 38. g6+ Kxg6 39. Ke4 Rb5 40. Kd4 c6 41. Kc4 a4 42. Kc3 a3 0-1,e4,d5,Loss,e4,1610,1624
Rated Bullet game,https://lichess.org/cHnY1Tjh,2021.07.10,OzymandiasS,Chandraj21,1-0,2021/07/10,23:22:22,1604,1608,+6,-5,Standard,60+0,B00,Time forfeit,1. e4 b5 2. Nf3 Bb7 3. d3 e6 4. Be3 b4 5. c3 a5 6. cxb4 Bxb4+ 7. Nc3 Nc6 8. Be2 Nf6 9. O-O d5 10. a3 Bxc3 11. bxc3 dxe4 12. dxe4 Nxe4 13. Qxd8+ Rxd8 14. Rfd1 Nxc3 15. Rxd8+ Nxd8 16. Bc4 Nd5 17. Bc5 c6 18. Ne5 Bc8 19. Rb1 Nb7 20. Bxd5 cxd5 21. Bb6 O-O 22. Nc6 Nd8 23. Ne7+ Kh8 24. Nxc8 Nc6 25. Nd6 Ne5 26. Bxa5 Nc4 27. Nxc4 dxc4 28. Bb4 h6 29. h3 Kh7 30. Kh2 Rc8 31. Rc1 c3 32. Bxc3 e5 33. Bd2 Rxc1 34. Bxc1 e4 35. f3 f5 36. fxe4 fxe4 37. g4 Kg6 38. Kg3 Kf6 39. Bb2+ Ke6 40. a4 Kd5 41. Bxg7 e3 42. Bxh6 e2 43. Kf2 1-0,e4,b5,Win,e4,1604,1608
Rated Bullet game,https://lichess.org/X5hbBuBQ,2021.07.10,stupidman87,OzymandiasS,1-0,2021/07/10,21:49:27,1615,1610,+6,-6,Standard,60+0,B01,Normal,1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Nf3 c6 5. d4 Nf6 6. Bd2 Qc7 7. Ne4 e6 8. Nxf6+ gxf6 9. Bd3 Nd7 10. Qe2 Bd6 11. O-O-O b6 12. Bh6 Bb7 13. Bg7 Rg8 14. Bh6 O-O-O 15. Be3 h5 16. h4 f5 17. Ng5 f6 18. Nxe6 Qb8 19. Nxd8 Kxd8 20. Bxf5 Kc8 21. Bxd7+ Kxd7 22. Qxh5 Qf8 23. Qf5+ Kc7 24. h5 c5 25. dxc5 Bxc5 26. Bxc5 bxc5 27. h6 Bxg2 28. Rhg1 Qxh6+ 29. Kb1 a5 30. Rd7+ Kb6 31. Qe6+ Kb5 32. Qb3+ Kc6 33. Rgd1 Bh3 34. R1d6# 1-0,e4,d5,Loss,d5,1610,1615
Rated Bullet game,https://lichess.org/Yam6maKE,2021.07.10,OzymandiasS,Inox001,0-1,2021/07/10,14:04:27,1616,1625,-6,+6,Standard,60+0,C00,Time forfeit,1. e4 d6 2. d4 e6 3. c4 Bd7 4. Nc3 c6 5. Be3 Be7 6. Nf3 Nf6 7. Be2 Bc8 8. O-O Nfd7 9. b3 O-O 10. Qc2 d5 11. exd5 cxd5 12. c5 Nf6 13. b4 a5 14. a3 axb4 15. axb4 Rxa1 16. Rxa1 Nc6 17. Qb3 Bd7 18. b5 Na5 19. Rxa5 Qxa5 20. h3 Qa1+ 21. Kh2 Ra8 22. c6 Bc8 23. cxb7 Bxb7 24. Ne5 Bd6 25. Bd2 Ne4 26. Nxe4 dxe4 27. Be3 f6 28. f4 Bd5 0-1,e4,d6,Loss,e4,1616,1625
Rated Bullet game,https://lichess.org/4qK3CtlE,2021.07.10,Kyilmaztrb,OzymandiasS,1-0,2021/07/10,14:01:49,1619,1621,+5,-5,Standard,60+0,B00,Time forfeit,1. e4 d6 2. d3 e6 3. f4 g6 4. Nf3 Bg7 5. g3 Ne7 6. Bg2 O-O 7. Be3 b6 8. Qd2 Bb7 9. Nc3 Nd7 10. O-O-O Rc8 11. h4 c5 12. g4 d5 13. f5 dxe4 14. dxe4 Rc7 15. fxg6 fxg6 16. h5 Nf6 17. hxg6 Nxg6 18. Rh2 Qxd2+ 19. Bxd2 Nxe4 20. Nxe4 Bxe4 21. Rdh1 h6 22. g5 Bxf3 23. gxh6 Bxg2 24. h7+ Kh8 25. Rxg2 Ne5 26. Bc3 Nf3 27. Bxg7+ Rxg7 28. Rf2 Rgf7 29. Rh6 Nd4 30. Rxf7 Rxf7 31. c3 Ne2+ 32. Kd2 Ng3 33. Rh2 Ne4+ 34. Kd3 Nd6 35. Kc2 Ne4 36. Kb3 Nd6 37. Re2 Nb5 38. Re5 Nd6 39. Rxe6 Ne4 40. Re8+ 1-0,e4,d6,Loss,d6,1621,1619
Rated Bullet game,https://lichess.org/FEVWDBLX,2021.07.10,OzymandiasS,balazkie,0-1,2021/07/10,13:59:03,1627,1619,-6,+7,Standard,60+0,C00,Time forfeit,1. e4 e6 2. d4 c5 3. dxc5 Bxc5 4. c4 Nc6 5. Nc3 a6 6. Be3 Bxe3 7. fxe3 Qb6 8. Nf3 Qxe3+ 9. Qe2 Qxe2+ 10. Bxe2 Nf6 11. O-O O-O 12. Rad1 Rd8 13. e5 Nh5 14. Ng5 g6 15. g4 Ng7 16. Nce4 Nxe5 17. Nf6+ Kh8 18. h4 d5 19. cxd5 exd5 20. h5 Be6 21. hxg6 fxg6 22. Nfxh7 d4 23. Nf6 Rac8 24. Rf2 Rc2 25. Rh2+ Nh5 26. gxh5 gxh5 27. Rxh5+ Kg7 28. Ngh7 Rg8 29. Rg5+ Kf7 30. Bd3 Nf3+ 0-1,e4,e6,Loss,e4,1627,1619
Rated Bullet game,https://lichess.org/7rMkCUhl,2021.07.10,Shivam10275,OzymandiasS,1-0,2021/07/10,13:52:11,1681,1632,+5,-5,Standard,60+0,C00,Time forfeit,1. e4 e6 2. d4 d6 3. f4 g6 4. Nf3 Bg7 5. e5 Ne7 6. Be2 dxe5 7. fxe5 O-O 8. O-O Nd7 9. c3 c5 10. Bg5 cxd4 11. cxd4 h6 12. Be3 Nd5 13. Bf2 b6 14. Nc3 Bb7 15. Nxd5 Bxd5 16. Qd2 Rc8 17. Be3 Kh7 18. g4 Rh8 19. g5 h5 20. a3 Kg8 21. h4 Qe7 22. Bd3 a6 23. Ne1 b5 24. Ng2 Nb6 25. Rac1 Nc4 26. Bxc4 Bxc4 27. b3 Bxf1 28. Rxc8+ Kh7 29. Rxh8+ Bxh8 30. Kxf1 Bg7 31. Qc3 Qxa3 32. Nf4 Bf8 33. Kf2 Bb4 34. Qd3 Qa2+ 35. Qe2 Qxb3 36. Kg3 Qc4 37. d5 Qxe2 38. Nxe2 a5 39. d6 1-0,e4,e6,Loss,e6,1632,1681
Rated Bullet game,https://lichess.org/S7PafPed,2021.07.10,vishvanatarajan,OzymandiasS,1-0,2021/07/10,13:50:45,1651,1638,+5,-6,Standard,60+0,B00,Normal,1. e4 d6 2. Nf3 e6 3. d4 g6 4. Be3 Bg7 5. c3 Ne7 6. Nbd2 O-O 7. Be2 b6 8. Nf1 Bb7 9. Ng3 Nd7 10. Qd2 Rc8 11. Bh6 c5 12. Bxg7 Kxg7 13. h4 cxd4 14. cxd4 e5 15. d5 f5 16. h5 fxe4 17. Nxe4 Nxd5 18. hxg6 hxg6 19. Qh6+ Kf7 20. Nfg5+ Ke8 21. Qxg6+ Ke7 22. Rh7+ Rf7 23. Qxf7# 1-0,e4,d6,Loss,d6,1638,1651
Rated Bullet game,https://lichess.org/3nH9v1MT,2021.07.09,MonoZ7,OzymandiasS,1-0,2021/07/09,17:52:25,1671,1643,+6,-5,Standard,60+0,A41,Time forfeit,1. d4 d6 2. e3 e6 3. Nf3 g6 4. Be2 Bg7 5. a3 Ne7 6. Nc3 O-O 7. b4 b6 8. Bb2 Bb7 9. Rb1 Nd7 10. O-O c6 11. Re1 Qc7 12. Na2 Rac8 13. Nc1 d5 14. Nb3 Qb8 15. Ne5 c5 16. Nxd7 Qc7 17. Nxf8 Rxf8 18. bxc5 bxc5 19. Nxc5 Bc6 20. c3 Rb8 21. Rc1 Rxb2 22. a4 Nc8 23. a5 Nd6 24. a6 Bb5 25. Bxb5 Rxb5 26. Rb1 Rxb1 27. Qxb1 Bf6 28. Nb7 Nxb7 29. Qxb7 Qxc3 30. Rb1 Qc2 31. Qb8+ Kg7 32. Qb2 Qe4 33. Rc1 Bh4 34. g3 Bd8 35. Qc2 Qxc2 36. Rxc2 Bb6 37. Rc8 Kf6 38. Rc6 h5 39. Rxb6 axb6 40. a7 b5 41. a8=Q b4 42. Qb8 b3 43. Qxb3 Kf5 44. Qd1 Ke4 45. Kg2 f6 46. h4 g5 47. Qf3+ Kd3 48. Qxh5 gxh4 49. Qxh4 e5 50. Qxf6 exd4 51. exd4 1-0,d4,d6,Loss,d6,1643,1671
