Event,Site,Date,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,Variant,TimeControl,ECO,Termination,Moves,WhiteFirstMove,BlackFirstMove,MyResult,MyFirstMove,MyElo,MyOpponentsElo
Rated Bullet game,https://lichess.org/nBVm5UfR,2021.01.31,Azzula,OzymandiasS,0-1,2021/01/31,02:47:19,1824,1830,-6,+5,Standard,60+0,C00,Time forfeit,1. e4 d6 2. d4 e6 3. Nc3 g6 4. Be3 Bg7 5. f3 Ne7 6. Qd2 O-O 7. O-O-O b6 8. Kb1 Bb7 9. h4 Nd7 10. h5 c5 11. Bh6 cxd4 12. Bxg7 Kxg7 13. hxg6 Nxg6 14. Qh6+ Kf6 15. Nce2 Rh8 16. Nf4 Qf8 17. Nh5+ Ke7 18. Qg5+ Ke8 19. Nf6+ Nxf6 20. Qxf6 Qe7 21. Qxd4 Rc8 22. Nh3 d5 23. Nf4 Nxf4 24. Qxh8+ Kd7 25. Qxh7 Rf8 26. exd5 Nxd5 27. Bb5+ Bc6 28. Bxc6+ Kxc6 29. Qd3 Nf4 30. Qc4+ Qc5 31. Qxf4 Rc8 0-1,e4,d6,Win,d6,1830,1824
Rated Bullet game,https://lichess.org/nS6AKB64,2021.01.31,carlesee,OzymandiasS,0-1,2021/01/31,02:41:27,1818,1824,-6,+6,Standard,60+0,C41,Time forfeit,1. e4 d6 2. Nf3 e5 3. Bc4 g6 4. d4 Bg7 5. dxe5 dxe5 6. Qxd8+ Kxd8 7. Bg5+ f6 8. Be3 Ke7 9. Nc3 Be6 10. Nd5+ Bxd5 11. Bxd5 c6 12. Bc4 Nd7 13. O-O-O Nb6 14. Bb3 Bh6 15. Bxh6 Nxh6 16. Rd2 Ng4 17. h3 Nh6 18. Rhd1 Rad8 19. Rxd8 Rxd8 20. Rxd8 Kxd8 21. g4 Ke7 22. Nd2 Nf7 23. Nc4 Nxc4 24. Bxc4 Nd6 25. Bb3 Nxe4 26. f3 Nf2 27. h4 Nh3 28. Kd2 Nf4 29. Ke3 h6 30. c4 b6 31. Bc2 Kd6 32. b4 Ng2+ 33. Kf2 Nxh4 34. Kg3 g5 35. a4 a6 36. Bd3 b5 37. c5+ Kd5 38. Be4+ Kc4 39. Bxc6 Kxb4 40. axb5 axb5 41. Be4 Kxc5 42. Bf5 b4 43. Bc2 Kc4 44. Kf2 Kc3 45. Bb1 b3 46. Ke2 Kb2 47. Be4 Kc1 48. Kd3 b2 49. Kc3 b1=Q 50. Bxb1 Kxb1 51. Kd3 Kc1 52. Ke4 Kd1 53. f4 Ke2 0-1,e4,d6,Win,d6,1824,1818
Rated Bullet game,https://lichess.org/5utIBKMT,2021.01.31,OzymandiasS,elmar555,0-1,2021/01/31,02:39:54,1830,1797,-6,+6,Standard,60+0,B06,Normal,1. e4 g6 2. Nf3 Bg7 3. d4 e6 4. c4 Ne7 5. Be3 b6 6. Bd3 Bb7 7. Nc3 Nbc6 8. Qc2 d6 9. O-O Qd7 10. Rad1 O-O-O 11. b4 Nxb4 12. Qb1 Nxd3 13. Rxd3 f5 14. e5 dxe5 15. dxe5 Qxd3 16. Qxd3 Rxd3 17. Nb5 Bxf3 18. gxf3 Bxe5 19. Bg5 Nc6 20. a4 Rxf3 21. Rd1 h6 22. Bh4 g5 23. Bg3 f4 24. Bxf4 gxf4 0-1,e4,g6,Loss,e4,1830,1797
Rated Bullet game,https://lichess.org/J0e6j1gE,2021.01.31,havutt,OzymandiasS,1-0,2021/01/31,02:38:25,1861,1836,+5,-6,Standard,60+0,D02,Normal,1. d4 d5 2. Nf3 e6 3. Bf4 Nf6 4. e3 Be7 5. c3 O-O 6. Bd3 b6 7. Qe2 h6 8. h3 Bb7 9. g4 Nbd7 10. Nbd2 Rc8 11. h4 c5 12. g5 hxg5 13. hxg5 Ne4 14. Ne5 Nxg5 15. Qh5 Nxe5 16. Bxg5 f6 17. dxe5 fxg5 18. Bg6 Rxf2 19. Qh8# 1-0,d4,d5,Loss,d5,1836,1861
Rated Bullet game,https://lichess.org/oiBnf71i,2021.01.31,cevde,OzymandiasS,1-0,2021/01/31,02:35:48,1838,1841,+6,-5,Standard,60+0,A01,Time forfeit,1. b3 d6 2. Bb2 e5 3. e3 g6 4. d3 Bg7 5. Nf3 Ne7 6. Be2 O-O 7. Nbd2 Be6 8. Ne4 Nbc6 9. Neg5 Bd7 10. Nh3 f5 11. Nhg1 d5 12. Qd2 e4 13. dxe4 Bxb2 14. Rb1 Bg7 15. exd5 Ne5 16. c4 Nxf3+ 17. Nxf3 c6 18. O-O cxd5 19. cxd5 Rc8 20. Bc4 Be8 21. d6+ Kh8 22. dxe7 Qxd2 23. exf8=Q+ Bxf8 24. Nxd2 Rd8 25. Nf3 Bb4 26. Rfd1 Rc8 27. Rd5 Bc6 28. Re5 Bc3 29. Re7 Be4 30. Rd1 Bf6 31. Red7 Bc6 32. R7d3 Be4 33. R3d2 Bc3 34. Re2 h5 35. Nd4 Kh7 36. f3 Bc6 37. Be6 Rd8 38. Rc2 Ba5 39. Bc4 Bb6 40. Rcd2 Kh6 41. f4 1-0,b3,d6,Loss,d6,1841,1838
Rated Bullet game,https://lichess.org/FUkZfgln,2021.01.31,OzymandiasS,Willy_Crook_the_best,0-1,2021/01/31,02:33:02,1849,1727,-8,+8,Standard,60+0,C02,Time forfeit,1. e4 e6 2. d4 d5 3. e5 c5 4. f4 cxd4 5. Qxd4 Nc6 6. Qa4 Ne7 7. Bb5 Bd7 8. Nc3 Nxe5 9. Bxd7+ Nxd7 10. Be3 a6 11. Nf3 b5 12. Qb3 Nf5 13. Bf2 Be7 14. Nd4 Nxd4 15. Bxd4 O-O 16. O-O-O Bf6 17. g4 Bxd4 18. Rxd4 Qf6 19. Rhd1 Nb6 20. g5 Qe7 21. Ne2 Nc4 22. h4 f6 23. gxf6 Qxf6 24. Qg3 g6 25. h5 Nd6 26. hxg6 hxg6 27. Rg1 Nf5 28. Qxg6+ Qxg6 29. Rxg6+ Kf7 30. Rg2 Nxd4 31. Nxd4 Rg8 32. Rf2 Rg1+ 33. Kd2 Rag8 34. c3 R1g2 35. Rxg2 Rxg2+ 36. Ke3 Rc2 37. Nf3 Rxc3+ 38. bxc3 d4+ 0-1,e4,e6,Loss,e4,1849,1727
Rated Bullet game,https://lichess.org/UaZk0nJr,2021.01.31,OzymandiasS,jmmandrade,0-1,2021/01/31,02:30:31,1856,1770,-7,+7,Standard,60+0,B06,Time forfeit,1. e4 g6 2. d4 Bg7 3. Nf3 e6 4. Be3 Ne7 5. c3 O-O 6. Nbd2 c6 7. Bd3 d5 8. e5 Nd7 9. O-O f6 10. Re1 fxe5 11. dxe5 Nxe5 12. Nxe5 Bxe5 13. Nf3 Bg7 14. Bg5 h6 15. Bh4 g5 16. Bg3 Nf5 17. Be5 Bxe5 18. Nxe5 Nh4 19. Qh5 Nf5 20. Qg6+ Ng7 21. Qxh6 Qf6 22. Qxf6 Rxf6 23. Ng4 Rf4 24. Nh6+ Kf8 25. g3 Rf6 26. Ng4 Rf7 27. Ne5 Rf6 28. Re3 Nf5 29. Bxf5 Rxf5 30. Ng6+ Kf7 31. Ne5+ Kf6 32. Rae1 d4 33. Ng4+ Kg6 34. Re4 d3 35. Rd1 Bd7 36. Ne3 Rf6 37. Rxd3 c5 38. Rxd7 Raf8 0-1,e4,g6,Loss,e4,1856,1770
Rated Bullet game,https://lichess.org/0KN6nyTk,2021.01.31,OzymandiasS,havutt,0-1,2021/01/31,02:29:12,1862,1860,-6,+6,Standard,60+0,C53,Normal,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Qf6 5. d4 exd4 6. cxd4 Nxd4 7. Nxd4 Bxd4 8. Be3 Bxb2 9. O-O Bxa1 10. f4 Qe7 11. Bd4 Bxd4+ 12. Qxd4 d6 13. Qxg7 Qf6 14. Qg3 Ne7 15. e5 Qg6 16. Qe3 dxe5 17. Qxe5 Rg8 18. Re1 Qxg2# 0-1,e4,e5,Loss,e4,1862,1860
Rated Bullet game,https://lichess.org/pTOmrr55,2021.01.31,Lolodm98,OzymandiasS,1-0,2021/01/31,02:26:36,1864,1867,+6,-5,Standard,60+0,A41,Time forfeit,1. d4 d6 2. Nf3 e6 3. Bf4 g6 4. Bg3 Bg7 5. e3 Ne7 6. Nbd2 O-O 7. c3 b6 8. Nb3 Bb7 9. Bd3 Nd7 10. Bc2 Rc8 11. O-O c5 12. Nfd2 cxd4 13. exd4 d5 14. Nc1 Nf6 15. Ne2 Nc6 16. h3 Re8 17. Nf4 Ne7 18. Nf3 Ne4 19. Bxe4 dxe4 20. Nd2 Nc6 21. Nxe4 Nxd4 22. cxd4 Bxe4 23. Qe2 Bb7 24. Rac1 Qxd4 25. Rxc8 Rxc8 26. Rd1 Qf6 27. Nd3 Rd8 28. Qc2 Qf5 29. Rd2 Be4 30. Qc7 Rxd3 31. Qc8+ Bf8 32. Rxd3 Bxd3 33. Bd6 Kg7 34. Qxf8+ Kf6 35. Qe7+ Kg7 36. Qd8 Kh6 37. Bf8+ 1-0,d4,d6,Loss,d6,1867,1864
Rated Bullet game,https://lichess.org/oDXNHeaz,2021.01.31,OzymandiasS,Wildried,0-1,2021/01/31,02:25:23,1872,1929,-5,+4,Standard,60+0,B40,Normal,1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Be3 Bb4 7. a3 Bxc3+ 8. bxc3 Nxe4 9. Qd3 d5 10. Nxc6 bxc6 11. f3 Nd6 12. Be2 O-O 13. O-O-O Qa5 14. Kb2 Nc4+ 15. Kb1 Rb8+ 16. Ka2 Qxa3# 0-1,e4,c5,Loss,e4,1872,1929
